,s,t,method,hash,k,cost,factor,portfolio,infos
3190,18,38,penalised djikstra(1.4),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,7,55.07165708253241,,[a18-61-124-63-142;a18-61-90-155-30-151;a92-95-128-23-134-12-142;a18-122-149-20-28-30-151;a18-61-124-130-151;a92-95-128-73-71-14-12-142;a92-95-128-23-55-63-142],[56.456;;70.424;;84.173;;88.527;;108.264;;110.217;;141.441]
3191,18,38,penalised djikstra(1.4),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,7,55.07165708253241,1.0004227791311917,[a18-61-124-63-142;a18-61-90-155-30-151;a92-95-128-23-134-12-142;a18-122-149-20-28-30-151;a18-61-124-130-151;a92-95-128-73-71-14-12-142;a92-95-128-23-55-63-142],[56.456;;70.424;;84.173;;88.527;;108.264;;110.217;;141.441]
3192,18,38,greedy,c539c10233e857faac14ba4e7c580b9914d39c989616057b920cb8ce3825cb6d,6,55.05763188693055,1.000167999705527,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-130-151;a18-122-149-20-28-30-151;a18-61-90-27-28-30-151;a92-95-128-23-55-63-142],[+2.56%;;+0.80%;;+0.13%;;+0.08%;;+0.04%;;+0.02%]
3193,18,38,most frequent shortest paths,120d5c6e56ceb65e9f5418ea9b966d31319dadb98731c6602535ded982afe2e2,6,55.05817905224074,1.0001779394216943,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-130-151;a18-61-90-27-28-30-151;a18-122-149-20-28-30-151;a92-95-128-23-134-12-142],[+2.56% | f=0.675;;+0.80% | f=0.171;;+0.13% | f=0.121;;+0.08% | f=0.014;;+0.04% | f=0.014;;+0.02% | f=0.002]
3194,18,38,penalised djikstra(1.05),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,6,55.122174525016206,,[a18-61-124-63-142;a18-61-124-63-142;a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142;a18-61-124-130-151],[56.456;;59.278;;62.242;;64.869;;66.681;;69.218]
3195,18,38,penalised djikstra(1.05),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,6,55.122174525016206,1.001340470787509,[a18-61-124-63-142;a18-61-124-63-142;a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142;a18-61-124-130-151],[56.456;;59.278;;62.242;;64.869;;66.681;;69.218]
3196,18,38,penalised djikstra(1.1),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,6,55.090728707277776,,[a18-61-124-63-142;a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-130-151;a18-61-124-63-142;a18-122-149-20-28-30-151],[56.456;;62.101;;66.069;;71.080;;75.329;;80.041]
3197,18,38,penalised djikstra(1.1),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,6,55.090728707277776,1.0007692311691556,[a18-61-124-63-142;a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-130-151;a18-61-124-63-142;a18-122-149-20-28-30-151],[56.456;;62.101;;66.069;;71.080;;75.329;;80.041]
3198,18,38,penalised djikstra(1.2),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,6,55.078934690918985,,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142;a18-122-149-20-28-30-151;a92-95-128-23-134-12-142;a18-61-124-130-151],[56.456;;65.840;;73.248;;81.912;;84.720;;91.140]
3199,18,38,penalised djikstra(1.2),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,6,55.078934690918985,1.0005549829832856,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142;a18-122-149-20-28-30-151;a92-95-128-23-134-12-142;a18-61-124-130-151],[56.456;;65.840;;73.248;;81.912;;84.720;;91.140]
