,k,d,i,j
292,10,1941,6,10
293,10,2048,6,11
294,10,1526,6,12
295,10,1461,6,13
296,10,2047,6,14
297,10,2181,6,15
298,10,1615,6,16
299,10,1410,6,17
300,10,2122,6,18
301,10,2025,6,19
302,10,1493,7,8
303,10,1637,7,9
304,10,2025,7,10
305,10,2083,7,11
306,10,764,7,12
307,10,1564,7,13
308,10,1801,7,14
309,10,1990,7,15
310,10,1851,7,16
311,10,1827,7,17
312,10,1848,7,18
313,10,1820,7,19
314,10,1711,8,9
315,10,1916,8,10
316,10,2215,8,11
317,10,1369,8,12
318,10,1903,8,13
319,10,1780,8,14
320,10,1565,8,15
321,10,1649,8,16
322,10,2204,8,17
323,10,2040,8,18
324,10,1980,8,19
325,10,1706,9,10
326,10,1428,9,11
327,10,1488,9,12
328,10,1669,9,13
329,10,2328,9,14
330,10,2089,9,15
331,10,1998,9,16
332,10,1737,9,17
333,10,2064,9,18
334,10,1927,9,19
335,10,1505,10,11
336,10,1823,10,12
337,10,2334,10,13
338,10,2386,10,14
339,10,1984,10,15
340,10,1832,10,16
341,10,2345,10,17
342,10,2220,10,18
343,10,2016,10,19
344,10,1883,11,12
345,10,2211,11,13
346,10,2621,11,14
347,10,2300,11,15
348,10,2138,11,16
349,10,2197,11,17
350,10,2176,11,18
351,10,1964,11,19
352,10,1656,12,13
353,10,1723,12,14
354,10,1776,12,15
355,10,1643,12,16
356,10,1972,12,17
357,10,1702,12,18
358,10,1507,12,19
359,10,2090,13,14
360,10,2266,13,15
361,10,2047,13,16
362,10,1508,13,17
363,10,2252,13,18
364,10,2295,13,19
365,10,2138,14,15
366,10,2251,14,16
367,10,2388,14,17
368,10,2374,14,18
369,10,2444,14,19
370,10,1857,15,16
371,10,2366,15,17
372,10,1446,15,18
373,10,1621,15,19
374,10,1941,16,17
375,10,2145,16,18
376,10,1940,16,19
377,10,2262,17,18
378,10,2304,17,19
379,10,914,18,19
380,15,1758,0,1
381,15,1957,0,2
382,15,1895,0,3
383,15,1913,0,4
384,15,2365,0,5
385,15,2068,0,6
386,15,1957,0,7
387,15,1857,0,8
388,15,2361,0,9
389,15,2324,0,10
390,15,2272,0,11
391,15,1966,0,12
392,15,2150,0,13
393,15,1819,0,14
394,15,2302,0,15
395,15,1965,0,16
396,15,2109,0,17
397,15,2286,0,18
398,15,2014,0,19
399,15,2035,1,2
400,15,2059,1,3
401,15,1359,1,4
402,15,2179,1,5
403,15,1992,1,6
404,15,1505,1,7
405,15,1457,1,8
406,15,1785,1,9
407,15,2170,1,10
408,15,2107,1,11
409,15,1452,1,12
410,15,1851,1,13
411,15,1344,1,14
412,15,2016,1,15
413,15,815,1,16
414,15,2292,1,17
415,15,1928,1,18
416,15,1593,1,19
417,15,368,2,3
418,15,1815,2,4
419,15,2167,2,5
420,15,2190,2,6
421,15,1551,2,7
422,15,1596,2,8
423,15,2400,2,9
424,15,2473,2,10
425,15,1938,2,11
426,15,1939,2,12
427,15,1357,2,13
428,15,1495,2,14
429,15,2297,2,15
430,15,2117,2,16
431,15,1644,2,17
432,15,1765,2,18
433,15,1993,2,19
434,15,1814,3,4
435,15,2177,3,5
436,15,2182,3,6
437,15,1589,3,7
438,15,1613,3,8
439,15,2347,3,9
440,15,2478,3,10
441,15,1956,3,11
442,15,1887,3,12
443,15,1434,3,13
444,15,1554,3,14
445,15,2269,3,15
446,15,2123,3,16
447,15,1693,3,17
448,15,1740,3,18
449,15,2055,3,19
450,15,1993,4,5
451,15,1571,4,6
452,15,1066,4,7
453,15,1253,4,8
454,15,1840,4,9
455,15,2174,4,10
456,15,1586,4,11
457,15,1000,4,12
458,15,1160,4,13
459,15,1207,4,14
460,15,1863,4,15
461,15,1596,4,16
462,15,1822,4,17
463,15,1440,4,18
464,15,1715,4,19
465,15,2248,5,6
466,15,2017,5,7
467,15,1868,5,8
468,15,2289,5,9
469,15,1325,5,10
470,15,1882,5,11
471,15,2051,5,12
472,15,2031,5,13
473,15,2100,5,14
474,15,1995,5,15
475,15,2165,5,16
476,15,2023,5,17
477,15,1905,5,18
478,15,2397,5,19
479,15,1695,6,7
480,15,1677,6,8
481,15,2158,6,9
482,15,2331,6,10
483,15,1945,6,11
484,15,1642,6,12
485,15,1594,6,13
486,15,1775,6,14
487,15,1696,6,15
488,15,2209,6,16
489,15,1860,6,17
490,15,1895,6,18
491,15,2145,6,19
492,15,1157,7,8
493,15,1639,7,9
494,15,2281,7,10
495,15,1291,7,11
496,15,1145,7,12
497,15,1299,7,13
498,15,1294,7,14
499,15,1803,7,15
500,15,1857,7,16
501,15,1688,7,17
502,15,1513,7,18
503,15,1644,7,19
504,15,1800,8,9
505,15,2356,8,10
506,15,1666,8,11
507,15,1174,8,12
508,15,1319,8,13
509,15,1481,8,14
510,15,1584,8,15
511,15,1601,8,16
512,15,1674,8,17
513,15,1506,8,18
514,15,1861,8,19
515,15,2490,9,10
516,15,1911,9,11
517,15,1777,9,12
518,15,2176,9,13
519,15,1818,9,14
520,15,2168,9,15
521,15,2029,9,16
522,15,2396,9,17
523,15,2181,9,18
524,15,2206,9,19
525,15,1802,10,11
526,15,2352,10,12
527,15,2310,10,13
528,15,2306,10,14
529,15,1792,10,15
530,15,2132,10,16
531,15,1873,10,17
532,15,2290,10,18
533,15,2359,10,19
534,15,1670,11,12
535,15,1547,11,13
536,15,1917,11,14
537,15,1753,11,15
538,15,2404,11,16
539,15,1656,11,17
540,15,1640,11,18
541,15,2058,11,19
542,15,1321,12,13
543,15,1433,12,14
544,15,1775,12,15
545,15,1643,12,16
546,15,2003,12,17
547,15,1590,12,18
548,15,1880,12,19
549,15,1588,13,14
550,15,1812,13,15
551,15,2028,13,16
552,15,1450,13,17
553,15,1219,13,18
554,15,2055,13,19
555,15,2199,14,15
556,15,1489,14,16
557,15,2087,14,17
558,15,1803,14,18
559,15,1646,14,19
560,15,2233,15,16
561,15,1895,15,17
562,15,1932,15,18
563,15,2355,15,19
564,15,2537,16,17
565,15,2071,16,18
566,15,1743,16,19
567,15,1815,17,18
568,15,2150,17,19
569,15,2244,18,19
570,25,1987,0,1
571,25,2262,0,2
572,25,2011,0,3
573,25,1615,0,4
574,25,1815,0,5
575,25,2467,0,6
576,25,1548,0,7
577,25,1899,0,8
578,25,1862,0,9
579,25,2396,0,10
580,25,1830,0,11
581,25,1976,0,12
582,25,1953,0,13
583,25,1733,0,14
584,25,2088,0,15
585,25,2245,0,16
586,25,1460,0,17
587,25,1743,0,18
588,25,1349,0,19
589,25,1818,1,2
590,25,1315,1,3
591,25,2175,1,4
592,25,1544,1,5
593,25,1999,1,6
594,25,1275,1,7
595,25,2445,1,8
596,25,2053,1,9
597,25,2391,1,10
598,25,1741,1,11
599,25,1645,1,12
600,25,2028,1,13
601,25,1244,1,14
602,25,2191,1,15
603,25,2555,1,16
604,25,1533,1,17
605,25,1437,1,18
606,25,1280,1,19
607,25,1810,2,3
608,25,2280,2,4
609,25,1951,2,5
610,25,2413,2,6
611,25,1836,2,7
612,25,2179,2,8
613,25,1969,2,9
614,25,2116,2,10
615,25,2207,2,11
616,25,1702,2,12
617,25,1895,2,13
618,25,1829,2,14
619,25,2144,2,15
620,25,2207,2,16
621,25,1884,2,17
622,25,1902,2,18
623,25,1767,2,19
624,25,2229,3,4
625,25,1567,3,5
626,25,2019,3,6
627,25,1279,3,7
628,25,2439,3,8
629,25,2042,3,9
630,25,2160,3,10
631,25,1837,3,11
632,25,1462,3,12
633,25,1978,3,13
634,25,1347,3,14
635,25,2293,3,15
636,25,2600,3,16
637,25,1424,3,17
638,25,1472,3,18
639,25,1396,3,19
640,25,1816,4,5
641,25,2600,4,6
642,25,1915,4,7
643,25,2104,4,8
644,25,1880,4,9
645,25,1721,4,10
646,25,1690,4,11
647,25,1801,4,12
648,25,1863,4,13
649,25,1716,4,14
650,25,1243,4,15
651,25,2460,4,16
652,25,1678,4,17
653,25,1687,4,18
654,25,1674,4,19
655,25,1920,5,6
656,25,1550,5,7
657,25,2217,5,8
658,25,1918,5,9
659,25,2107,5,10
660,25,1623,5,11
661,25,1476,5,12
662,25,2109,5,13
663,25,1397,5,14
664,25,1904,5,15
665,25,2472,5,16
666,25,1757,5,17
667,25,1379,5,18
668,25,1469,5,19
669,25,2183,6,7
670,25,2674,6,8
671,25,2508,6,9
672,25,2575,6,10
673,25,2345,6,11
674,25,2094,6,12
675,25,2647,6,13
676,25,1975,6,14
677,25,2437,6,15
678,25,2469,6,16
679,25,2735,6,17
680,25,2258,6,18
681,25,2431,6,19
682,25,2064,7,8
683,25,1880,7,9
684,25,2337,7,10
685,25,1890,7,11
686,25,1459,7,12
687,25,1704,7,13
688,25,972,7,14
689,25,2151,7,15
690,25,2498,7,16
691,25,993,7,17
692,25,1668,7,18
693,25,674,7,19
694,25,1575,8,9
695,25,2509,8,10
696,25,2250,8,11
697,25,2531,8,12
698,25,2187,8,13
699,25,2405,8,14
700,25,2470,8,15
701,25,1265,8,16
702,25,2077,8,17
703,25,2226,8,18
704,25,2227,8,19
705,25,2447,9,10
706,25,1659,9,11
707,25,1971,9,12
708,25,2133,9,13
709,25,1931,9,14
710,25,1899,9,15
711,25,1834,9,16
712,25,1843,9,17
713,25,1680,9,18
714,25,1814,9,19
715,25,2119,10,11
716,25,1777,10,12
717,25,2169,10,13
718,25,2142,10,14
719,25,1715,10,15
720,25,2500,10,16
721,25,2200,10,17
722,25,1788,10,18
723,25,2396,10,19
724,25,1695,11,12
725,25,2460,11,13
726,25,1646,11,14
727,25,1782,11,15
728,25,2313,11,16
729,25,1984,11,17
730,25,1005,11,18
731,25,1774,11,19
732,25,1777,12,13
733,25,1265,12,14
734,25,1995,12,15
735,25,2695,12,16
736,25,1568,12,17
737,25,1276,12,18
738,25,1396,12,19
739,25,1773,13,14
740,25,2416,13,15
741,25,2591,13,16
742,25,1461,13,17
743,25,2247,13,18
744,25,1402,13,19
745,25,1899,14,15
746,25,2635,14,16
747,25,1385,14,17
748,25,1388,14,18
749,25,911,14,19
750,25,2502,15,16
751,25,2151,15,17
752,25,1646,15,18
753,25,2169,15,19
754,25,2387,16,17
755,25,2366,16,18
756,25,2566,16,19
757,25,1671,17,18
758,25,891,17,19
759,25,1532,18,19
760,35,1873,0,1
761,35,1815,0,2
762,35,1489,0,3
763,35,1854,0,4
764,35,1721,0,5
765,35,2085,0,6
766,35,1825,0,7
767,35,1873,0,8
768,35,1889,0,9
769,35,1991,0,10
770,35,1945,0,11
771,35,1899,0,12
772,35,2545,0,13
773,35,2081,0,14
774,35,2192,0,15
775,35,1621,0,16
776,35,2168,0,17
777,35,2569,0,18
778,35,2542,0,19
779,35,1771,1,2
780,35,2141,1,3
781,35,950,1,4
782,35,1634,1,5
783,35,677,1,6
784,35,1284,1,7
785,35,1426,1,8
786,35,2354,1,9
787,35,1456,1,10
788,35,1944,1,11
789,35,1359,1,12
790,35,2581,1,13
791,35,2399,1,14
792,35,2259,1,15
793,35,1017,1,16
794,35,2285,1,17
795,35,2392,1,18
796,35,2768,1,19
797,35,1860,2,3
798,35,1655,2,4
799,35,2105,2,5
800,35,1545,2,6
