,k,d,i,j
1250,75,1574,6,18
1251,75,1392,6,19
1252,75,1862,7,8
1253,75,2299,7,9
1254,75,2240,7,10
1255,75,2052,7,11
1256,75,2006,7,12
1257,75,1660,7,13
1258,75,2003,7,14
1259,75,2423,7,15
1260,75,2205,7,16
1261,75,2115,7,17
1262,75,2123,7,18
1263,75,2193,7,19
1264,75,1598,8,9
1265,75,2087,8,10
1266,75,1466,8,11
1267,75,1954,8,12
1268,75,2161,8,13
1269,75,1250,8,14
1270,75,1405,8,15
1271,75,1118,8,16
1272,75,2059,8,17
1273,75,1295,8,18
1274,75,1337,8,19
1275,75,1956,9,10
1276,75,1575,9,11
1277,75,1951,9,12
1278,75,2454,9,13
1279,75,1911,9,14
1280,75,1519,9,15
1281,75,1305,9,16
1282,75,2070,9,17
1283,75,1460,9,18
1284,75,1698,9,19
1285,75,1465,10,11
1286,75,2443,10,12
1287,75,2557,10,13
1288,75,2333,10,14
1289,75,2003,10,15
1290,75,2192,10,16
1291,75,1830,10,17
1292,75,1947,10,18
1293,75,1838,10,19
1294,75,1964,11,12
1295,75,2035,11,13
1296,75,1795,11,14
1297,75,1662,11,15
1298,75,1397,11,16
1299,75,1764,11,17
1300,75,1672,11,18
1301,75,1542,11,19
1302,75,2072,12,13
1303,75,1893,12,14
1304,75,2118,12,15
1305,75,2259,12,16
1306,75,1308,12,17
1307,75,1932,12,18
1308,75,1977,12,19
1309,75,2151,13,14
1310,75,2286,13,15
1311,75,2120,13,16
1312,75,2191,13,17
1313,75,2254,13,18
1314,75,2226,13,19
1315,75,1928,14,15
1316,75,1425,14,16
1317,75,1912,14,17
1318,75,1429,14,18
1319,75,1740,14,19
1320,75,1248,15,16
1321,75,2018,15,17
1322,75,1508,15,18
1323,75,1633,15,19
1324,75,2407,16,17
1325,75,1367,16,18
1326,75,1521,16,19
1327,75,1998,17,18
1328,75,1613,17,19
1329,75,1789,18,19
