,lon,lat
0,121.43309,31.242266
1,121.42995,31.241476
2,121.43811,31.241376
3,121.44105,31.241316
4,121.43433,31.241186
5,121.44352,31.241126
6,121.44532,31.241036
7,121.44391,31.240656
8,121.42522,31.240566
9,121.44187,31.240336
10,121.43113,31.240286
11,121.43884,31.240266
12,121.43539,31.239806
13,121.44679,31.239726
14,121.43224,31.239466
15,121.43951,31.239226
16,121.42778,31.239016
17,121.44536,31.239006
18,121.43337,31.238856
19,121.43737,31.238516
20,121.44351,31.238326
21,121.4364,31.238206
22,121.44271,31.238026
23,121.4426,31.237986
24,121.44006,31.237976
25,121.43448,31.237766
26,121.43458,31.237666
27,121.43155,31.237526
28,121.44093,31.237386
29,121.44698,31.237286
30,121.42644,31.237026
31,121.42844,31.236846
32,121.43214,31.236736
33,121.44509,31.236646
34,121.44796,31.236326
35,121.43757,31.236206
36,121.44614,31.235776
37,121.4361,31.235716
38,121.44284,31.235686
39,121.4252,31.235356
40,121.43348,31.234826
41,121.44408,31.234376
42,121.4392,31.234316
43,121.44744,31.234116
44,121.43734,31.233456
45,121.428,31.233356
46,121.44533,31.233156
47,121.43468,31.233126
48,121.44071,31.232826
49,121.42977,31.232636
50,121.43131,31.232536
51,121.43518,31.232476
52,121.42893,31.232326
53,121.43795,31.231866
54,121.43589,31.231546
55,121.44198,31.231276
56,121.43617,31.231196
57,121.42621,31.231056
58,121.42482,31.230276
59,121.43877,31.229836
60,121.43295,31.229486
61,121.43786,31.229116
62,121.43188,31.228896
63,121.42969,31.227746
64,121.43405,31.227376
65,121.43087,31.226916
66,121.42443,31.224916
