,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
0,4.74474152,6.00520229,13.78775291,9.48796398,24.85557277,29.62109184,9.67743874,4.01985917,8.19184875,9.70632943,9.58044209,7.49401817,7.94321141,10.18595127,23.27101303,6.03686397,6.91843776,8.67220834,10.83336394,12.00537171,5.02076906,5.02608767,6.36024247,10.95519314,9.13560858,9.04393706,8.70285309,8.70986022,8.23142973,4.77953984,4.92738693,8.56109698,9.56346496,10.47617326,22.80249655,25.64827934,12.56095498,11.56267840,15.28107410,9.47199467,8.49313245,6.16223943,21.07299165,25.62227867,9.78112536,9.36490726,6.07201577,9.85370980,10.96495536,4.24041163,7.27609309,11.77523372,8.65149075,3.65071005,3.28243667,8.11962512,8.77868560,12.82850998,11.59627766,11.45773124,6.47610896,9.14553117,8.36235033,8.82633312,9.84651465,6.36328116,8.66576991,22.41958100,20.55163717,1.58731973,2.54543164,2.43347099,8.95213916,9.60920322,7.73149619,6.12076781,9.40685120,6.81617004,27.80159498,9.26719833,7.49338897,12.85941752,8.01986779,5.98563815,3.61680452,11.80476071,13.60826582,23.82339946,11.87504835,9.49702446,3.66857554,4.41461049,5.86073843,6.78524928,10.12014650,9.07513137,13.60980263,15.21432673,6.51260232,8.61247892,11.19233927,11.92114275,7.48709918,7.65277357,4.87590740,4.45078380,6.64707435,5.45860949,19.99808848,6.03390900,5.91712367,6.58197724,6.65653371,7.80651012,8.87879541,8.96797820,9.12812067,2.72196073,6.15901285,12.60601690,11.58528482,13.77129702,30.93457177,9.22406810,8.39926428,6.88884798,27.12228273,9.10997929,10.53283610,6.33789497,9.75620226,13.65012509,8.92156734,4.91881056,9.95301176,13.62420462,3.77273627,14.65472295,9.21898408,10.95561001,2.11316572,2.80970048,10.38809124,5.60544419,5.66987458,14.99515891,8.88602010,4.15611657,4.92162988,6.01526409,7.69299080,27.57744618,11.73070472,8.66436029,11.68986124,14.09820939
1,7.45914376,8.15168183,11.43270194,9.50429439,21.38657775,22.55042119,5.12334992,3.81678655,9.08117348,9.85606318,9.42549018,8.06109497,7.61684847,7.50774857,10.66705060,5.87538735,6.08650769,9.46980209,10.94749420,16.24287729,6.30342724,4.40677408,6.68145714,11.51208938,10.64284271,9.73717432,16.64680132,10.81043943,6.76113009,5.14613262,5.19270115,8.46721243,9.86508875,10.14699182,19.45949379,19.07460521,12.40379648,10.40518780,15.70949940,10.59540769,9.84572614,5.34555710,25.28334958,25.81951104,10.96477366,8.56046628,7.85177607,7.94429220,8.77303547,4.33932521,7.92811272,13.01798669,10.00420392,3.55944230,2.60855894,9.27681635,7.29451933,14.50337273,12.98693378,10.00008060,7.03416111,9.58237587,8.84182508,10.96431592,10.99395375,6.16115750,7.97007826,15.42310974,14.94921044,1.50622610,2.28779686,3.32120453,9.69502610,11.97100383,7.19639382,6.58461012,11.78711287,10.49979877,16.00387017,12.06747028,9.65201068,14.89821971,11.07167588,7.40567746,2.76660621,10.18374562,7.17325675,35.98499499,13.77784573,8.51858867,4.07268713,5.26609323,6.28305990,7.60924544,11.08290380,10.30755662,13.52244575,14.05411396,6.70658766,6.82053498,11.94893097,12.01427668,7.51223704,7.32666784,6.43490757,4.04029788,4.84336064,4.31769207,18.76773685,7.70064139,8.05782541,6.09156907,6.98500798,8.47447238,9.14028925,11.03773880,8.77251849,3.47153700,5.38241115,8.61875465,12.72694611,12.40534330,15.28747821,13.14605637,9.48059966,7.54427819,29.07532204,9.54460293,13.74498360,8.97066479,10.18036466,13.12933083,8.79318012,6.70928423,11.00485915,12.22171297,4.00761480,15.11796494,8.81694490,10.04909687,1.77727241,2.70501847,12.00455876,5.73580335,7.11460224,11.21521581,8.63351146,4.16375982,4.64884211,6.74922204,7.11468241,13.13363062,11.42814716,9.23690909,10.23400681,15.57084923
2,8.99604100,8.02744697,10.25630579,8.18780928,21.43702129,24.21122385,4.06151574,3.94732289,8.54357090,10.02549457,8.66415262,9.43915365,6.11312410,8.09589310,10.00715008,5.23584171,5.28079992,12.19450886,10.37146163,15.90156503,5.97518048,5.53703849,7.74688658,10.70305516,11.34775971,11.34426338,11.50764866,11.05094410,6.24334248,4.67072370,5.57019650,3.76325329,10.01124920,10.18991660,16.82867982,17.80540801,11.58584886,9.50332778,15.51606405,10.44268256,11.78247464,6.30229033,20.31998179,20.62001562,10.44838148,7.80683102,8.99823623,7.98054195,8.13537224,4.82006708,7.95966302,11.40939851,10.14662860,3.79200404,2.60371875,10.19723155,6.75021262,15.63555058,13.93143076,8.25522356,7.40020691,8.41709577,8.95883923,9.71612907,9.47275325,5.60194752,8.20786736,15.86973568,15.58556863,1.99991051,2.36602578,2.98023630,10.37814856,12.10418205,6.13739871,5.90338967,15.78000484,17.50813923,12.72721388,12.31225792,9.16462222,13.99454962,11.39953872,7.81387864,2.59750798,10.23011700,5.99954483,43.63975364,13.58237860,8.54619156,4.06765124,5.88940293,5.46757110,8.13408210,11.61555601,10.93771292,13.82725758,13.78404194,6.42524712,6.91828129,11.94128994,11.78411812,7.08133377,8.54470138,7.36616890,4.37782514,4.81215534,4.58982213,20.39188299,7.11194977,8.19797468,5.56595747,6.81793534,8.05991523,8.30751732,9.08277277,7.30492655,3.76442727,5.58186440,7.71956087,13.84996876,13.29657769,12.46330413,17.63159177,9.73738963,6.98587070,28.50935399,9.35959901,11.61858996,10.61686340,11.63253107,13.51580853,7.46227433,6.85776079,9.79035105,9.51614293,4.60487482,14.83076795,8.37731961,9.96507593,2.00993031,2.83245995,13.25066186,6.25283352,4.51104407,8.48189855,7.59235840,4.38193204,4.88833496,6.36399741,9.00386178,11.94142131,9.15339765,11.01751807,8.41453419,15.39585375
3,8.67925410,7.52897660,12.06026872,7.93355262,21.11265306,30.19484448,3.41804886,4.73593574,8.53894832,10.40217281,7.38030480,11.08799897,5.53834975,7.04745333,8.05236227,5.62719511,5.24290780,13.84556732,12.09750839,14.44191146,5.72639827,4.84252580,7.62452164,9.32738540,9.61621792,10.47695482,9.77623198,10.19126127,6.39330232,4.53986790,5.73999217,3.54388352,10.83186708,10.49514175,18.82609345,19.67963648,11.22821860,8.96271534,14.25925110,9.04596362,10.81439011,9.36994809,17.89186861,20.03213756,10.28361510,8.47100009,9.16986350,8.94292056,7.66129027,5.98675171,7.46991826,10.66718319,10.27950180,4.98464794,2.61849708,8.51374731,6.67583096,12.47674895,11.45343160,6.92550482,5.88002445,7.43900390,7.57243562,9.04925089,8.82379571,6.49474130,8.56405952,15.38963815,13.46017861,2.43587031,2.22003036,2.72698590,11.07150361,10.83350213,5.61478063,5.60566231,21.37901114,25.93689009,11.92721556,12.50984293,8.34962276,10.27652162,8.38413580,7.07759759,3.93953437,9.44971201,7.90143955,22.81413229,11.99162048,7.60402703,3.84778656,4.84957059,4.77596154,8.65114382,10.97078028,9.90014332,13.78537710,14.28937965,6.96604804,6.73815208,14.86161450,12.05613827,7.43029449,8.84619650,7.05217835,4.89829502,4.53846161,5.14864246,18.94719315,7.75998257,7.41966014,5.32584860,6.28110282,8.40219846,7.67427643,9.44244508,6.03556553,3.57682184,5.60340724,7.38070775,12.55124484,14.45793221,12.86386478,14.58714154,9.93286217,6.90565733,22.33968469,9.35817254,10.99269112,10.35841709,14.09550678,13.78532434,6.93336952,6.63679651,9.65253038,10.15227464,5.01874013,13.04288945,8.96865540,8.96590616,1.83949154,3.14904014,10.94817384,6.16598861,4.41658760,8.32018179,7.17015275,4.09252522,4.56777747,6.03566538,8.59037043,12.35467759,9.23075432,9.55261118,7.83522489,16.94554212
4,9.19236019,7.49645465,13.54684494,8.70036857,23.52884830,27.90976427,3.28056398,4.35138117,8.38330761,8.97006676,6.92464902,8.03855390,6.00778876,7.30668071,7.50207223,6.48436026,5.25668135,14.14314876,12.09037470,12.98964550,4.85682549,3.76334167,6.95499149,9.84652528,8.00242142,9.09625237,9.62666683,10.78721579,5.76670625,6.08699543,5.66995180,5.15806174,11.08742901,10.45874421,21.42150175,19.13457133,12.08419319,9.56252937,12.97305140,8.75115384,9.20131156,9.65881842,17.18600058,19.91317060,11.19490422,7.93137092,8.59516297,9.35646263,7.70937879,6.84096983,7.40258823,9.21314181,9.00098497,4.78065366,2.65369327,6.45211960,5.24646416,11.14619120,9.72867551,6.60196599,4.56186754,7.59525553,7.19315037,10.16273248,9.07437671,7.39765106,8.22679401,16.62432216,12.77053806,2.15575968,2.18228894,3.44730068,8.96219531,11.53191998,5.80086883,5.83320053,32.70231151,42.15077396,11.14500796,9.78174711,8.89570131,9.95625989,8.58956288,6.19576922,5.20242151,7.47697051,9.20030511,16.07149400,11.83752483,7.99946632,4.04493405,4.04731669,5.76097715,7.75052415,9.48102710,9.93107011,13.08660381,13.17339003,6.98204837,6.08057557,20.10438035,12.93902780,7.62738546,8.25834949,6.22641951,4.98426893,4.73540826,4.17945555,18.83960167,9.24270324,6.62226939,5.98739350,6.72597403,10.02826022,7.63575451,8.72951441,6.31793617,3.33282489,5.11684837,6.58354171,12.92204808,12.56278190,14.64012093,12.31052321,11.17127581,7.20035878,23.33559563,9.89439843,12.88000675,7.44963277,14.51652489,12.32550236,6.96931377,6.65908046,10.51832053,10.10996396,4.62125084,13.06035959,10.81235238,8.32723953,1.68233448,3.25933343,10.00082930,7.09943251,6.91598237,8.43998676,7.56498498,4.34349226,4.41245141,6.39476177,5.93878722,11.03923770,9.88753813,8.25093762,8.53038473,19.62800406
5,9.32077446,7.32954993,15.76028436,9.14598389,25.99438793,23.52442821,3.49711806,3.66384957,7.74152071,7.60682956,7.09628362,6.79725780,5.30037835,9.14514693,8.42373454,7.14565884,5.78153343,12.23132955,10.51830811,12.46120145,4.67989023,3.91742833,5.91977208,10.77076059,8.34181599,10.46418050,8.72779903,11.15769197,5.28097751,6.80686005,5.17600104,4.05391667,10.78794395,10.32141783,20.22215085,19.46984433,12.69113646,10.97666950,12.43508177,9.06841173,8.37149549,9.32852381,18.47696192,20.00710986,10.72675901,8.71464702,9.33893404,9.40410044,7.62195142,6.71633851,6.34280959,8.83559574,8.40901584,4.42796822,2.83386425,5.41105571,3.27085441,12.14163642,9.32987559,7.19182047,4.80854903,8.94646687,8.84775078,9.72526564,9.06872401,7.80408060,7.56715454,15.24953523,12.92881115,1.87363696,1.70730800,3.75548322,7.91530970,11.82732989,6.22599585,6.35305357,61.23895154,49.74510808,13.50036456,8.59172125,9.92123753,10.64566120,9.70534465,5.91947346,6.30016554,6.32379995,8.89203671,16.50749295,12.32336332,7.54859751,4.61748704,4.23387567,6.74964931,6.65425269,8.13775637,8.60742646,13.26963476,13.15919476,6.46873680,6.35169961,16.56593240,12.42905814,7.80010534,7.70250604,7.49106077,5.82098438,5.36696824,3.92380999,19.76819727,8.54102221,5.82120381,6.37899845,6.57124578,10.45771012,8.65396467,7.94017401,6.59907608,3.36692005,5.46666952,8.12562493,12.79566554,10.59488665,15.87546397,12.19185234,10.30142492,6.16376721,25.73051199,7.95586314,13.42289977,6.60575319,11.86468769,9.50818076,6.77851865,6.75652198,9.46826748,9.18473173,4.07308310,12.74619786,10.48402967,7.79797020,1.69845580,3.16639775,10.64163375,7.14878957,6.22800319,6.72092398,7.23761292,4.85041125,4.95923784,6.12586105,6.21614982,11.85205356,11.31887740,8.54354239,8.47791513,20.89288115
6,8.20169460,7.64796081,15.19393279,9.34736944,22.51940032,22.06717039,3.90538046,3.64904284,6.94956494,7.58584630,5.96635041,6.99944193,5.37862745,10.81948328,7.60752601,7.08032953,6.97220775,8.73376018,10.07107603,13.00237245,4.02378804,4.16278783,6.16001943,10.67636931,9.51479091,10.92497265,8.22541456,6.55049385,7.22375726,6.68735673,5.17306714,4.11400671,10.56666309,10.79537536,19.97054824,22.07617457,12.07557026,11.09604816,12.29940352,9.46237757,7.93867589,8.64435060,19.72765970,21.92738367,11.15182743,9.32210699,8.56335173,9.66777185,7.06475313,6.14587376,5.86775011,9.35593626,8.86149407,5.35058004,2.82239416,5.38009848,2.08701996,11.82020559,8.91804152,7.33968786,5.64089000,9.74801356,9.85397808,8.74394567,9.22150123,8.23007818,6.92497022,12.75587977,13.52992976,1.92835256,1.31928643,3.39873710,8.97276483,10.90131595,6.73137081,6.70991372,34.15164522,44.15931219,15.79272581,9.15980802,10.65192787,6.81289538,9.74933990,5.96271658,6.05154202,7.02346755,8.33989702,22.87966975,14.05498798,6.80300675,4.16391184,4.46211577,6.08531062,6.78054695,8.50040474,8.32009325,12.38442601,12.81242089,6.64306842,7.01471123,9.38022386,9.69772310,8.41616276,7.30419987,11.34671592,6.07067006,4.90923315,4.10771924,18.12223271,8.68063494,5.88480107,5.86707990,5.99636553,8.64992479,8.82969861,8.54275794,5.67935941,3.46984372,5.61143108,10.00904454,11.84198228,10.40614689,13.22869039,13.25658112,7.57554246,5.67629878,19.59106171,7.14603331,11.56483881,7.86316089,11.58773286,9.56290700,6.72709397,5.44985948,7.27821340,9.48953716,4.13663671,13.04485795,9.41986409,7.78169559,1.56660562,3.28178945,9.86111080,6.23897842,4.81712513,5.26967426,6.81637851,4.29280711,4.82217505,3.83921528,6.52686978,14.48676132,11.73209406,9.51074678,8.71604479,18.34229826
7,6.43603918,7.95124295,12.81837058,10.33272710,21.77049359,22.36805835,5.64321345,3.42893407,7.01731418,8.34520125,5.66563930,8.20895354,6.16411421,8.61263960,7.63071913,6.11760384,7.44350042,8.29924196,9.38178811,13.43774368,3.54252741,3.83538482,7.58817738,10.17447952,8.09342820,9.51223623,7.61292465,5.61015816,6.80239416,6.71473569,5.90570494,5.29122953,10.84342812,9.98328365,18.67026418,24.15978557,12.01452991,10.49717043,12.53338677,9.56199080,8.47320541,7.15642538,15.78859651,18.80678446,12.20257495,9.52253045,8.16807772,7.92761217,7.78452157,6.44848570,7.44365959,9.41786307,9.43698083,5.04568244,2.43707363,6.33433056,2.39478900,11.32778163,10.10963829,7.22073791,5.82791162,9.76721732,8.73577952,8.34290927,9.04420345,8.01172107,7.03242273,12.15626673,12.68129607,1.87135608,1.56013054,3.76049267,9.65904465,11.79398735,6.39229438,6.90035915,29.35095990,48.79939707,13.28700352,9.28105688,10.55702702,6.29869639,9.15542276,4.50529022,5.78366388,8.21476528,7.77745938,32.57491988,15.62544910,6.99939457,3.69671410,4.19968097,5.75132123,6.96344687,9.66435389,7.32345720,11.62449650,11.95900802,6.75357464,7.01619890,6.77016033,8.72813199,8.29282968,7.60636378,7.96288447,5.14524909,4.55083905,4.04743720,15.70348599,9.54854385,7.62491961,5.90202717,5.75678151,8.15302860,8.96130796,8.55351189,5.77465350,3.40962684,5.49447855,10.66178416,13.11359480,12.93729894,12.36792890,13.87031337,6.05596280,6.17054903,17.37273421,10.54762732,9.72611927,7.91955923,13.19471155,12.21762700,7.40238181,5.23937991,7.95358028,9.64316857,4.11305980,13.79676241,8.92400420,8.03935881,1.69194161,3.45776055,9.86966975,6.23650523,4.37302688,5.41739769,9.68613555,3.83967133,4.24628852,3.39275314,6.71149510,16.80730768,11.60678857,8.62539293,8.71334367,17.07548406
8,6.38479135,8.14515701,13.11339174,10.77519935,22.84410115,22.84053957,5.39478952,2.89036660,7.86713625,8.77679599,6.23530776,8.97389307,5.69405388,7.00728346,7.79193929,6.31484272,6.78815460,9.02253958,9.84977018,12.04614596,4.24487614,3.97634617,7.39770546,10.55468409,7.10704634,10.44238651,8.05857143,8.60464201,4.96272723,6.24594209,6.21142578,5.49146525,11.19923255,9.54588086,18.25826977,23.68687365,12.74304841,10.45363443,13.35851189,9.51751294,9.38775596,8.11623872,14.85705369,14.48372542,15.35046722,8.67816156,9.42053111,7.25977341,7.79303692,5.68026446,6.81446511,8.30375662,10.12112636,4.74219379,2.03776689,6.65502564,4.43131660,13.06735471,12.64303363,7.74987993,5.97604636,9.98300134,8.36630552,7.57194635,7.94351772,7.58058551,7.43203245,11.02313999,11.04013959,1.92431667,1.94747516,4.13427367,10.63589429,11.31627580,5.29836555,7.67918930,28.78448715,55.56174244,14.43096814,9.72831507,10.82238570,9.59896573,9.59006936,3.95389803,5.63104184,9.53963175,7.13891293,35.73759572,16.25729055,7.11408643,3.90447783,4.58740507,6.10070456,7.34282342,9.91530600,7.14267842,11.62396503,12.90118176,6.36894510,6.62059842,6.95170216,9.07822604,7.29001786,8.56991741,5.98108752,4.89692167,3.91474683,4.36022923,14.60482802,8.68284060,12.78063066,5.59552065,5.72156741,8.62292991,7.96275226,7.63803183,5.97374046,4.24883291,5.74105725,12.13322265,11.78510124,13.46338217,13.05084720,14.64818860,6.67166060,6.44227167,15.33298878,12.11538323,9.63549573,7.35605497,11.86410262,12.87486266,7.50378322,6.19170071,8.28340570,9.92316249,3.75328373,12.64695801,8.07844091,8.42325366,1.87908043,4.37262087,11.62387630,6.07359431,4.06102011,6.87977897,10.94375941,4.14136986,3.83269682,4.29718517,6.70155849,15.87949261,9.54292163,7.33887154,8.21045174,17.14715806
9,7.49892344,7.86681888,12.26114708,10.36493057,22.96052931,23.13960631,4.09168855,2.72429656,8.11766205,9.00842280,6.37101588,8.67596758,5.46493383,8.15723451,6.96678840,7.34669148,6.81305433,7.99720322,10.35786988,11.42588172,4.58289166,4.15250195,7.51315949,10.66758526,6.60968435,13.07847898,9.02704812,8.70629866,5.35799574,5.87012596,5.69805836,5.03156212,11.43571458,10.25555673,18.83531872,21.65621454,12.62182854,10.14227249,13.96101581,9.04730789,10.12324371,10.56898966,17.64219107,15.15277539,14.78488505,7.95501224,9.22943049,8.80502366,6.85012688,5.10397282,5.27589222,7.59908053,10.22394802,5.98810154,1.99880837,4.53591391,5.46067557,12.32369782,12.94384776,8.26305818,6.54927109,8.54134701,9.08631256,8.31032799,7.88091963,7.45716588,7.10190153,12.57574965,11.82706417,1.97800240,1.87910267,4.40040620,10.93867875,9.71051565,5.06125732,7.00070549,23.13469015,52.27670606,14.92553052,10.02673314,11.52152228,11.96128376,8.99802913,5.57926698,5.61989523,10.45506254,6.45402299,18.09817692,15.49493478,6.81787982,4.20914836,5.36231903,6.89521353,7.69771787,9.49627303,9.56630979,11.57183443,12.32585779,6.44321093,6.49099214,7.99957453,8.47136378,6.82812807,9.03896232,5.93574765,5.61717906,4.10670823,4.60871822,14.02562564,8.39954511,15.11180136,5.53429415,5.92060260,9.41003895,7.51629852,7.05891002,5.58808646,4.40418115,5.71369135,11.58491670,10.78130543,12.16722543,14.23737475,16.70614998,8.79421034,6.72996183,12.99518271,10.20439877,10.37839823,5.85433518,11.41511376,11.31381952,6.53970566,6.54782953,7.82281317,10.79590797,3.88786141,10.47758338,8.60979998,8.78105742,1.88863820,4.39077779,12.20335394,5.53894791,4.19138048,7.94969785,7.03884046,5.51681397,3.65830657,5.02602516,6.91997680,12.96904823,10.75498520,7.67841052,8.94386879,16.81749212
