time,avg_speed_kmh
2015-04-01 00:00:00,25.21801115823669
2015-04-01 00:10:00,24.827095683860716
2015-04-01 00:20:00,25.295439002754183
2015-04-01 00:30:00,25.776225406247363
2015-04-01 00:40:00,26.061958306249927
2015-04-01 00:50:00,26.40672911906763
2015-04-01 01:00:00,27.214831902045756
2015-04-01 01:10:00,27.31238610819818
2015-04-01 01:20:00,26.85930038104296
2015-04-01 01:30:00,26.70361748494469
2015-04-01 01:40:00,26.5035173299501
2015-04-01 01:50:00,26.184414584622534
2015-04-01 02:00:00,26.406522992802067
2015-04-01 02:10:00,26.584155338595156
2015-04-01 02:20:00,27.054896597910336
2015-04-01 02:30:00,27.683756163000396
2015-04-01 02:40:00,27.34756328594309
2015-04-01 02:50:00,27.164191500245604
2015-04-01 03:00:00,27.73764201637964
2015-04-01 03:10:00,28.49323885433446
2015-04-01 03:20:00,28.37178265949462
2015-04-01 03:30:00,28.981777430763795
2015-04-01 03:40:00,29.084091757376743
2015-04-01 03:50:00,27.848579355664498
2015-04-01 04:00:00,26.971157122330467
2015-04-01 04:10:00,26.318499093713946
2015-04-01 04:20:00,25.547336425511176
2015-04-01 04:30:00,25.725245747939656
2015-04-01 04:40:00,26.82934317994698
2015-04-01 04:50:00,27.05121041329171
2015-04-01 05:00:00,27.97343465977408
2015-04-01 05:10:00,28.939166822999784
2015-04-01 05:20:00,28.517442616959123
2015-04-01 05:30:00,27.90589215673095
2015-04-01 05:40:00,27.378744311202855
2015-04-01 05:50:00,27.112878550257754
2015-04-01 06:00:00,26.936449206124564
2015-04-01 06:10:00,26.64591871062402
2015-04-01 06:20:00,26.129865602179777
2015-04-01 06:30:00,25.498319184033285
2015-04-01 06:40:00,25.14407130658337
2015-04-01 06:50:00,24.693693352889323
2015-04-01 07:00:00,23.395754678817756
2015-04-01 07:10:00,21.744991750579068
2015-04-01 07:20:00,20.58712854400149
2015-04-01 07:30:00,19.751046847324357
2015-04-01 07:40:00,18.73278173649505
2015-04-01 07:50:00,18.09300148123292
2015-04-01 08:00:00,18.514966700785173
2015-04-01 08:10:00,19.10294680413717
2015-04-01 08:20:00,19.58270896695705
2015-04-01 08:30:00,19.793503590198878
2015-04-01 08:40:00,19.534270033227866
2015-04-01 08:50:00,19.800055577101862
2015-04-01 09:00:00,20.78291934178118
2015-04-01 09:10:00,20.994897336594804
2015-04-01 09:20:00,20.718014023763562
2015-04-01 09:30:00,20.804611567604244
2015-04-01 09:40:00,21.156938351307982
2015-04-01 09:50:00,21.34007731233941
2015-04-01 10:00:00,21.151641147920163
2015-04-01 10:10:00,21.077830313586446
2015-04-01 10:20:00,21.23741144340399
2015-04-01 10:30:00,21.842331099249034
2015-04-01 10:40:00,21.980918660913183
2015-04-01 10:50:00,21.73914482212572
2015-04-01 11:00:00,21.88714999244406
2015-04-01 11:10:00,21.90870649450438
2015-04-01 11:20:00,21.736426284238597
2015-04-01 11:30:00,21.70552465011031
2015-04-01 11:40:00,21.896300881458966
2015-04-01 11:50:00,22.06673037439726
2015-04-01 12:00:00,21.88036122719115
2015-04-01 12:10:00,21.505578177416627
2015-04-01 12:20:00,22.039553570400155
2015-04-01 12:30:00,22.218598222695007
2015-04-01 12:40:00,21.971385554551983
2015-04-01 12:50:00,21.834331635817176
2015-04-01 13:00:00,21.588844762696223
2015-04-01 13:10:00,21.822057620173116
2015-04-01 13:20:00,21.822007686224616
2015-04-01 13:30:00,21.598029961356975
2015-04-01 13:40:00,21.360755679774194
2015-04-01 13:50:00,21.37227354466002
2015-04-01 14:00:00,21.38004259043289
2015-04-01 14:10:00,21.31214253458358
2015-04-01 14:20:00,21.305884663781043
2015-04-01 14:30:00,21.197032268630903
2015-04-01 14:40:00,21.0490485679838
2015-04-01 14:50:00,20.883000934672893
2015-04-01 15:00:00,20.50224716117763
2015-04-01 15:10:00,20.104257417311658
2015-04-01 15:20:00,20.272122278577246
2015-04-01 15:30:00,20.112880048639564
2015-04-01 15:40:00,19.31769113854844
2015-04-01 15:50:00,18.945137760925707
2015-04-01 16:00:00,19.058434732989983
2015-04-01 16:10:00,19.158220494728994
2015-04-01 16:20:00,19.263460990963523
2015-04-01 16:30:00,19.242026850238492
2015-04-01 16:40:00,19.114425736935353
2015-04-01 16:50:00,19.466637016450242
2015-04-01 17:00:00,19.377206040319642
2015-04-01 17:10:00,19.125826678947373
2015-04-01 17:20:00,19.548128135778207
2015-04-01 17:30:00,20.353531506965727
2015-04-01 17:40:00,20.69127763503151
2015-04-01 17:50:00,20.2369543746479
2015-04-01 18:00:00,19.672988245066925
2015-04-01 18:10:00,19.644622534931198
2015-04-01 18:20:00,19.940227109606322
2015-04-01 18:30:00,20.204094590939896
2015-04-01 18:40:00,20.33238669183533
2015-04-01 18:50:00,20.34876226383866
2015-04-01 19:00:00,20.67304688333414
2015-04-01 19:10:00,20.695903695638474
2015-04-01 19:20:00,21.059707202728916
2015-04-01 19:30:00,21.424105882240205
2015-04-01 19:40:00,20.988054073032668
2015-04-01 19:50:00,20.531752909467357
2015-04-01 20:00:00,20.64693690426813
2015-04-01 20:10:00,21.49566329633083
2015-04-01 20:20:00,22.3194767118305
2015-04-01 20:30:00,22.188785423991686
2015-04-01 20:40:00,21.657068318850385
2015-04-01 20:50:00,21.61010044654184
2015-04-01 21:00:00,21.633420505136463
2015-04-01 21:10:00,21.85876280749077
2015-04-01 21:20:00,22.53641855011406
2015-04-01 21:30:00,22.988673250625833
2015-04-01 21:40:00,23.296090434032248
2015-04-01 21:50:00,23.359189008030132
2015-04-01 22:00:00,23.036016186668355
2015-04-01 22:10:00,23.09199107029588
2015-04-01 22:20:00,23.881605428104432
2015-04-01 22:30:00,24.395935285220396
2015-04-01 22:40:00,23.891691850245724
2015-04-01 22:50:00,23.90843992317592
2015-04-01 23:00:00,24.554976148543478
2015-04-01 23:10:00,24.756339216353062
2015-04-01 23:20:00,24.342400490907988
2015-04-01 23:30:00,24.22573218133846
2015-04-01 23:40:00,24.807504176800006
2015-04-01 23:50:00,25.223430252895707
2015-04-02 00:00:00,25.456948010426256
2015-04-02 00:10:00,26.018880417375197
2015-04-02 00:20:00,26.829041007541363
2015-04-02 00:30:00,27.207680151817996
2015-04-02 00:40:00,27.066241125136912
