s,t,expected s-t distance,standard deviation of s-t distance,s,t,entropy,frequency of mode
0,0,0.0,0.0,0,0,-0.0,1.0
0,1,inf,,0,1,-0.0,1.0
0,2,57.29085296178912,7.79940549123893,0,2,0.08758318293036699,0.9826388888888888
0,3,83.48426458237518,9.510647785464338,0,3,0.5561835148125577,0.7810185185185186
0,4,46.71470003438656,6.085739778683263,0,4,-0.0,1.0
0,5,87.26405170939339,10.31120035424989,0,5,0.5598049024018398,0.7810185185185186
0,6,inf,,0,6,-0.0,1.0
0,7,89.5465922997593,10.461250822694193,0,7,0.5723202517139355,0.7798611111111111
0,8,41.07479475790296,7.607160727731954,0,8,-0.0,1.0
0,9,77.67912701403222,9.123827013602366,0,9,0.5561835148125577,0.7810185185185186
0,10,11.235960817819418,1.3761329937581739,0,10,-0.0,1.0
0,11,63.62444440951173,7.8868510539104415,0,11,0.3389372451514587,0.8960648148148148
0,12,39.22168995148843,5.335022697101657,0,12,-0.0,1.0
0,13,inf,,0,13,-0.0,1.0
0,14,19.411079809284733,2.506133031694116,0,14,-0.0,1.0
0,15,65.03351740793757,7.545500510842352,0,15,0.5509112244639218,0.7814814814814814
0,16,21.822858184791613,2.335148427117533,0,16,-0.0,1.0
0,17,95.82739219288881,10.883439110177271,0,17,1.3284807957263627,0.4162037037037037
0,18,27.08194198884021,3.474528279793039,0,18,-0.0,1.0
0,19,54.62898099319667,6.850927475307992,0,19,0.0021691886415661126,0.9997685185185186
0,20,87.78082166821314,9.846799522058525,0,20,0.6693162285178402,0.767824074074074
0,21,50.00199520009491,6.48168494438409,0,21,0.0021691886415661126,0.9997685185185186
0,22,90.92750042304151,10.049963915916214,0,22,0.6693162285178402,0.767824074074074
0,23,78.3916414526945,8.236949844107064,0,23,0.9993981384836712,0.5037037037037037
0,24,68.05422885871995,7.468571355288851,0,24,0.8994581925272062,0.6643518518518519
0,25,34.98746209518055,4.2869324108473235,0,25,-0.0,1.0
0,26,58.529253141585656,7.193615090555316,0,26,0.02977833820046416,0.9958333333333333
0,27,39.705214510766254,5.755030827325609,0,27,0.25421153927637286,0.9356481481481481
0,28,72.00669216840734,7.838638057254797,0,28,0.9993981384836712,0.5037037037037037
0,29,100.50575888679869,10.279897606196542,0,29,1.4899334386188463,0.575
0,30,30.29353454776859,2.9672536402577285,0,30,-0.0,1.0
0,31,34.53177373870833,3.7134753272229992,0,31,0.23629183010932076,0.9365740740740741
0,32,47.79910032427084,6.231731037187988,0,32,0.0021691886415661126,0.9997685185185186
0,33,91.40842426676636,9.130088690408416,0,33,1.2028789780311153,0.6236111111111111
0,34,105.9638583914722,10.97099940615252,0,34,1.4899334386188463,0.575
0,35,59.846680293423425,7.215504270692046,0,35,0.029735286559238017,0.9956018518518519
0,36,97.73288774160673,10.248647509249583,0,36,1.2080438136038716,0.6231481481481481
0,37,66.04086998640295,7.656551267946412,0,37,0.9192287702927547,0.6219907407407408
0,38,82.1303257635067,8.507469902185719,0,38,0.9752473759954916,0.6752314814814815
0,39,90.99296085351389,12.108865229841308,0,39,0.09805712680063995,0.98125
0,40,60.30082464198379,7.74118129089719,0,40,0.07349261238414403,0.9877314814814815
0,41,92.97248473240529,9.574556311219887,0,41,0.9935622468052395,0.6731481481481482
0,42,69.82257916629614,8.067679789360845,0,42,0.049352459168815616,0.993287037037037
0,43,108.49817008768734,12.011162495551204,0,43,1.2080438136038716,0.6231481481481481
0,44,77.39221506358798,9.015957693861024,0,44,1.0976019782538302,0.5877314814814815
0,45,76.26807921040748,9.670655517804427,0,45,0.09805712680063995,0.98125
0,46,103.38353826734914,11.086281098457656,0,46,0.9935622468052395,0.6731481481481482
0,47,71.0955932029954,8.876117772177803,0,47,0.07922851681266488,0.987037037037037
0,48,76.62276318120132,9.21783475633603,0,48,0.049352459168815616,0.993287037037037
0,49,78.23743108361099,9.763268457576457,0,49,0.35030381741880096,0.8979166666666667
0,50,82.75870491581725,10.11164596622823,0,50,0.35030381741880096,0.8979166666666667
0,51,75.22273619068541,9.338374472461322,0,51,0.08974298366527932,0.9863425925925926
0,52,80.19932445048381,9.94961469382196,0,52,0.65278041587046,0.6587962962962963
0,53,85.40926494552787,10.236658531224654,0,53,1.324686433728612,0.4710648148148148
0,54,81.18262514162042,9.858264038492642,0,54,0.14678925048674699,0.9761574074074074
0,55,85.15223218209256,10.407687397309783,0,55,0.049352459168815616,0.993287037037037
0,56,83.37728170178018,10.10178603172788,0,56,0.24713660263311055,0.9527777777777777
0,57,90.24961460392156,11.522422185811195,0,57,0.09805712680063995,0.98125
0,58,131.03520429262994,17.576413320448946,0,58,0.867448146350278,0.6206018518518519
0,59,96.68796985904638,12.229675043629397,0,59,1.324686433728612,0.4710648148148148
0,60,93.89768049976875,11.128592518623963,0,60,0.7485564804009073,0.7476851851851852
0,61,100.03611539812293,13.038086732297057,0,61,0.24713660263311055,0.9527777777777777
0,62,93.27512590095405,11.75297302256893,0,62,0.867448146350278,0.6206018518518519
0,63,105.4966952927941,13.817712970514712,0,63,0.867448146350278,0.6206018518518519
0,64,101.49517222046767,13.009299911253278,0,64,0.867448146350278,0.6206018518518519
0,65,113.13957551505803,14.329739267395576,0,65,0.867448146350278,0.6206018518518519
0,66,138.96436506237455,23.70222577499688,0,66,0.867448146350278,0.6206018518518519
1,0,22.44482109569443,3.3712518100436175,1,0,-0.0,1.0
1,1,0.0,0.0,1,1,-0.0,1.0
1,2,56.99802461711586,8.229385211338656,1,2,0.08758318293036699,0.9826388888888888
1,3,83.19143623770144,9.764226442786237,1,3,0.5561835148125577,0.7810185185185186
1,4,46.42187168971296,6.484601017325503,1,4,-0.0,1.0
1,5,86.97122336471999,10.556216211258876,1,5,0.5598049024018398,0.7810185185185186
1,6,inf,,1,6,-0.0,1.0
1,7,89.25376395508538,10.70889727955073,1,7,0.5723202517139355,0.7798611111111111
1,8,40.78196641322906,7.911317415839773,1,8,-0.0,1.0
1,9,77.38629866935871,9.410734109913394,1,9,0.5561835148125577,0.7810185185185186
1,10,10.943132473145845,2.896514614858379,1,10,-0.0,1.0
